rec_id,surname,given_name,gender,age,social_security_number,phone_number,state,income
rec-00-org,kempton,paris,female,70_79,945-38-3465,(764) 831-2934,montana,45122.905
rec-01-dup-0,rushby,arahella,female,30_39,307-62-1369,(590) 052-3171,,65238.228
rec-01-dup-1,lrushby,arabella,female,30_39,307-62-1369,,,65238.228
rec-01-org,rushby,arabella,female,30_39,307-62-1369,(590) 952-3171,minnesota,65238.228
rec-02-dup-0,egari,oliver,male,60_69,379-14-2605,,,63057.750
rec-02-dup-1,eagm,oliver,male,60_69,379-14-2605,,,63057.750
rec-02-org,egan,oliver,male,60_69,379-14-2605,(862) 886-4264,california,63057.750
rec-03-org,hammer,harry,female,30_39,320-67-9633,(283) 948-9835,new york,67217.163
rec-04-org,cormick,liam,male,under_10,533-12-4652,(366) 764-0160,california,64906.143
rec-05-org,clarke,rachel,male,10_19,883-45-8175,(480) 535-9284,utah,60900.395
rec-06-org,faull,max,female,30_39,554-03-5534,(215) 204-2958,georgia,55252.022
rec-07-org,hinks,sarah,male,10_19,479-15-9330,(269) 569-3304,montana,46526.988
rec-08-org,hoistech,tiana,male,30_39,152-87-4193,(599) 982-2700,colorado,65377.725
rec-09-dup-0,leclce,nich0las,male,10_19,412-04-8344,(271) 555-9557,,44788.901
rec-09-org,lecke,nicholas,male,10_19,412-04-8344,(271) 555-9557,arkansas,44788.901
rec-10-org,ardalich,jack,female,70_79,422-21-2039,(550) 935-8177,new york,58048.354
rec-11-dup-0,geor9e,jack,female,50_59,597-03-5008,,,78714.426
rec-11-org,george,jack,female,50_59,597-03-5008,(652) 641-0446,massachusetts,78714.426
rec-12-org,madigan,kyle,female,40_49,032-71-7903,(519) 425-3868,wisconsin,56178.334
rec-13-org,elderton,tiahnee,male,20_29,275-88-9278,(400) 607-1830,michigan,55996.449
rec-14-org,purser,juliana,female,60_69,264-80-8584,(875) 065-5070,missouri,47225.766
rec-15-dup-0,masotn,kloe,male,30_39,655-52-5657,(124) 957-4168,,51836.044
rec-15-dup-1,maons,chl0e,male,30_39,655-52-5657,(124) 957-4168,,51836.044
rec-15-dup-2,mas0n,chloe,male,30_39,655-52-5657,,indisna,51836.044
rec-15-dup-3,msan,cl>loe,male,30_39,655-52-5657,,indiana,51836.044
rec-15-org,mason,chloe,male,30_39,655-52-5657,(124) 957-4168,indiana,51836.044
rec-16-org,foottit,seth,male,40_49,012-60-3903,(374) 130-9767,washington d.c.,65358.947
