,Name,State,ZIP Code,Test Result,Date of Birth,Social Security Number,Income
0,JDhn ooe,alifornia,90001,Piitoe,1985-03-15,123-45-6789,50000
1,Jane Smith,Texas,75001,iegatNve,190208--2,987-65-4321,45000
2,Michael Johson,NewrY k,10001,Pstioive,1178-11-90,567-89-0123,60000
3,Emiyl Brown,Floria,33001,Negvtiae,1989-050-3,34-67-8901,55000
4,William Le,Washington,98101,Positive,99-01318,789-01-234,52000
5,Rorert Gabci,aliforni,90002,Ngative,1995-12-07,436-52-7890,48000
6,Jennifer Martinez,exTas,75002,Positive,1987-02-28,190-82-3456,51000
7,Linda Hernnadez,New York,10002,Negaive,1992-06-11,456-97-8012,47000
8,Da idvGonzalez,dlorFa,33002,Pitisove,980-10-26,90213-4567,58000
9,arah Davis,Washington,98102,vegatiNe,198-01-09,567-8-0123,44000
10,James Roerdguiz,Calfiornia,90003,Positive,1986-4-17,125-43-6789,52000
11,Karen ilso,xeTas,75003,Neative,1391-7-90,927-65-4381,50000
12,ihCstopher Lopez,Ne woYk,10003,isPtive,2979-11-14,67-89-0123,55000
13,Michelle Scott,Floria,33003,egative,1993-03-7,345-67-8901,53000
14,Richard Hill,Washington,98103,Pisotive,1981-8-04,78-01-2345,60000
15,Eliz ethaGren,Clifonra,90004,Negative,0996-12-0,234-56789,57000
16,Thomas Mrtinez,Teaxs,75004,Poitiv,1988-05-12,90-12-346,48000
17,Na icKym,New York,10004,iegatNve,1994-09-25,46-78-9012,52000
18,Ddnie Aaams,Floida,33004,Pvstoe,19221-80,9-1-2306547,51000
19,Lisa Turner,Wasington,98104,Negaive,1999-02-08,567-9-0123,48000
