,Age,Name,Disease,ZIP Code,State,Date of Birth,Social Security Number,Food Choice
0,25,John Doe,CO-IDV19,90001,California,1589-0315,132-45-8769,saPa
1,31,JaneiSm th,Inlfuenza,75001,eTxs,1990-08-22,98765432,Salad
2,45,Michael Johnson,Atshma,10001,r Yoek,17911-8-10,567-89-0123,Burgr
3,32,Emil Brown,COVID-19,33001,Florida,199-05-03,345-07-8961,Piza
4,28,W lliamiLee,C1VID-O9,98101,Wahinton,1983-09-18,789-01-2345,Suhi
5,27,lci Welliams,Diaets,30301,Georgia,1994-07-2,456-78-9012,rFuitSalad
6,38,obertMartin,COVID19,60601,Illnios,1982-1215,401-23-9567,Tacos
7,22,oamm ThEpson,Innluefza,20001,saWhington D.C.,1999-01-30,56-89-0123,teaSk
8,36,James Davis,tshma,33301,drlioa,19-7-08812,-34-5627890,Chien
9,41,Sophia derHnaez,COVID-19,60201,llinois,181-10-00,8903--456,eafood
10,29,John Wilson,OVID-19,98121,Washinton,1993-03-01,987--564321,Sandwiches
11,34,Ava Garcia,Diabete,80001,aolorCdo,98-11-05,345-68901,Somothies
12,27,Michel Moore,COVID-19,85001,Arizona,19960-5-20,123-45-6789,Psata
13,39,Sophia Johnson,mAsa,30302,Georgia,1984-02-0,389-01-2745,eugrBr
14,33,aieniMArt n,COVID19,60001,Illinois,1911-0791,23-56-7890,izza
